iter	Passed	Remaining
0	4	398
1	7	357
2	10	337
3	13	317
4	16	317
5	19	310
6	22	304
7	25	298
8	29	294
9	32	290
10	35	286
11	38	284
12	42	282
13	45	281
14	49	279
15	52	275
16	55	270
17	58	264
18	60	259
19	63	254
20	66	250
21	69	245
22	72	241
23	74	237
24	77	231
25	80	227
26	82	223
27	85	220
28	88	216
29	91	213
30	94	209
31	97	206
32	99	202
33	102	198
34	104	194
35	106	190
36	109	186
37	112	183
38	114	179
39	117	176
40	119	172
41	120	166
42	123	163
43	125	160
44	128	157
45	131	154
46	134	151
47	136	148
48	139	145
49	142	142
50	145	139
51	147	136
52	150	133
53	152	129
54	153	125
55	155	122
56	157	118
57	159	115
58	160	111
59	161	107
60	163	104
61	164	101
62	166	97
63	167	94
64	168	90
65	169	87
66	170	84
67	172	81
68	173	77
69	174	74
70	175	71
71	176	68
72	177	65
73	178	62
74	179	59
75	180	57
76	181	54
77	182	51
78	183	48
79	184	46
80	185	43
81	186	40
82	187	38
83	188	35
84	188	33
85	189	30
86	190	28
87	191	26
88	192	23
89	192	21
90	193	19
91	194	16
92	195	14
93	195	12
94	196	10
95	197	8
96	198	6
97	198	4
98	199	2
99	200	0
